date,Warriors,Clippers,Kings,Suns,Lakers
1947,35,NA,NA,NA,NA
1948,27,NA,NA,NA,NA
1949,28,NA,45,NA,44
1950,26,NA,51,NA,51
1951,40,NA,41,NA,44
1952,33,NA,41,NA,40
1953,12,NA,44,NA,48
1954,29,NA,44,NA,46
1955,33,NA,29,NA,40
1956,45,NA,31,NA,33
1957,37,NA,31,NA,34
1958,37,NA,33,NA,19
1959,32,NA,19,NA,33
1960,49,NA,19,NA,25
1961,46,NA,33,NA,36
1962,49,NA,43,NA,54
1963,31,NA,42,NA,53
1964,48,NA,55,NA,42
1965,17,NA,48,NA,9
1966,35,NA,45,NA,45
1967,44,NA,39,NA,36
1968,43,NA,39,NA,52
1969,41,NA,41,16,55
1970,30,NA,36,39,46
1971,41,22,33,48,48
1972,51,22,30,49,69
1973,47,21,36,38,60
1974,44,42,33,30,47
1975,48,49,44,32,30
1976,59,46,31,42,40
1977,46,30,40,34,53
1978,43,27,31,49,45
1979,38,43,48,50,47
1980,24,35,47,55,60
1981,39,36,40,57,54
1982,45,17,30,46,57
1983,30,25,45,53,58
1984,37,30,38,41,54
1985,22,31,31,36,62
1986,30,32,37,32,62
1987,42,12,29,36,65
1988,20,17,24,28,62
1989,43,21,27,55,57
1990,37,30,23,54,63
1991,44,31,25,55,58
1992,55,45,29,53,43
1993,34,41,25,62,39
1994,50,27,28,56,33
1995,26,17,39,59,48
1996,36,29,39,41,53
1997,30,36,34,40,56
1998,19,17,27,56,61
1999,21,9,27,27,31
2000,19,15,44,53,67
2001,17,31,55,51,56
2002,21,39,61,36,58
2003,38,27,59,44,50
2004,37,28,55,29,56
2005,34,37,50,62,34
2006,34,47,44,54,45
2007,42,40,33,61,42
2008,48,23,38,55,57
2009,29,19,17,46,65
2010,26,29,25,54,57
2011,36,32,24,40,57
2012,23,40,22,33,41
2013,47,56,28,25,45
2014,51,57,28,48,27
2015,67,56,29,39,21
2016,73,53,33,23,17
2017,67,51,32,24,26
